date,rates
2/1/2020,1.55
3/1/2020,1.55
6/1/2020,1.55
7/1/2020,1.55
8/1/2020,1.55
9/1/2020,1.55
10/1/2020,1.54
13/1/2020,1.54
14/1/2020,1.54
15/1/2020,1.54
16/1/2020,1.54
17/1/2020,1.55
21/1/2020,1.55
22/1/2020,1.55
23/1/2020,1.55
24/1/2020,1.55
27/1/2020,1.55
28/1/2020,1.55
29/1/2020,1.55
30/1/2020,1.6
31/1/2020,1.59
3/2/2020,1.59
4/2/2020,1.59
5/2/2020,1.59
6/2/2020,1.59
7/2/2020,1.58
10/2/2020,1.58
11/2/2020,1.58
12/2/2020,1.58
13/2/2020,1.58
14/2/2020,1.58
18/2/2020,1.59
19/2/2020,1.59
20/2/2020,1.59
21/2/2020,1.58
24/2/2020,1.58
25/2/2020,1.58
26/2/2020,1.58
27/2/2020,1.58
28/2/2020,1.58
2/3/2020,1.59
3/3/2020,1.59
4/3/2020,1.09
5/3/2020,1.09
6/3/2020,1.09
9/3/2020,1.09
10/3/2020,1.09
11/3/2020,1.09
12/3/2020,1.1
13/3/2020,1.1
16/3/2020,0.25
17/3/2020,0.25
18/3/2020,0.25
19/3/2020,0.2
20/3/2020,0.15
23/3/2020,0.15
24/3/2020,0.12
25/3/2020,0.1
26/3/2020,0.1
27/3/2020,0.1
30/3/2020,0.09
31/3/2020,0.08
1/4/2020,0.06
2/4/2020,0.05
3/4/2020,0.05
6/4/2020,0.05
7/4/2020,0.05
8/4/2020,0.05
9/4/2020,0.05
10/4/2020,0.05
13/4/2020,0.05
14/4/2020,0.05
15/4/2020,0.05
16/4/2020,0.05
17/4/2020,0.05
20/4/2020,0.05
21/4/2020,0.05
22/4/2020,0.05
23/4/2020,0.04
24/4/2020,0.05
27/4/2020,0.04
28/4/2020,0.04
29/4/2020,0.04
30/4/2020,0.05
1/5/2020,0.05
4/5/2020,0.05
5/5/2020,0.05
6/5/2020,0.05
7/5/2020,0.05
8/5/2020,0.05
11/5/2020,0.05
12/5/2020,0.05
13/5/2020,0.05
14/5/2020,0.05
15/5/2020,0.05
18/5/2020,0.05
19/5/2020,0.05
20/5/2020,0.05
21/5/2020,0.05
22/5/2020,0.05
26/5/2020,0.05
27/5/2020,0.05
28/5/2020,0.05
