date,cpi,rates
02/01/2020,258.906,1.55
03/01/2020,258.906,1.55
06/01/2020,258.906,1.55
07/01/2020,258.906,1.55
08/01/2020,258.906,1.55
09/01/2020,258.906,1.55
10/01/2020,258.906,1.54
13/01/2020,258.906,1.54
14/01/2020,258.906,1.54
15/01/2020,258.906,1.54
16/01/2020,258.906,1.54
17/01/2020,258.906,1.55
21/01/2020,258.906,1.55
22/01/2020,258.906,1.55
23/01/2020,258.906,1.55
24/01/2020,258.906,1.55
27/01/2020,258.906,1.55
28/01/2020,258.906,1.55
29/01/2020,258.906,1.55
30/01/2020,258.906,1.6
31/01/2020,258.906,1.59
03/02/2020,259.246,1.59
04/02/2020,259.246,1.59
05/02/2020,259.246,1.59
06/02/2020,259.246,1.59
07/02/2020,259.246,1.58
10/02/2020,259.246,1.58
11/02/2020,259.246,1.58
12/02/2020,259.246,1.58
13/02/2020,259.246,1.58
14/02/2020,259.246,1.58
18/02/2020,259.246,1.59
19/02/2020,259.246,1.59
20/02/2020,259.246,1.59
21/02/2020,259.246,1.58
24/02/2020,259.246,1.58
25/02/2020,259.246,1.58
26/02/2020,259.246,1.58
27/02/2020,259.246,1.58
28/02/2020,259.246,1.58
02/03/2020,258.15,1.59
03/03/2020,258.15,1.59
04/03/2020,258.15,1.09
05/03/2020,258.15,1.09
06/03/2020,258.15,1.09
09/03/2020,258.15,1.09
10/03/2020,258.15,1.09
11/03/2020,258.15,1.09
12/03/2020,258.15,1.1
13/03/2020,258.15,1.1
16/03/2020,258.15,0.25
17/03/2020,258.15,0.25
18/03/2020,258.15,0.25
19/03/2020,258.15,0.2
20/03/2020,258.15,0.15
23/03/2020,258.15,0.15
24/03/2020,258.15,0.12
25/03/2020,258.15,0.1
26/03/2020,258.15,0.1
27/03/2020,258.15,0.1
30/03/2020,258.15,0.09
31/03/2020,258.15,0.08
01/04/2020,256.126,0.06
02/04/2020,256.126,0.05
03/04/2020,256.126,0.05
06/04/2020,256.126,0.05
07/04/2020,256.126,0.05
08/04/2020,256.126,0.05
09/04/2020,256.126,0.05
10/04/2020,256.126,0.05
13/04/2020,256.126,0.05
14/04/2020,256.126,0.05
15/04/2020,256.126,0.05
16/04/2020,256.126,0.05
17/04/2020,256.126,0.05
20/04/2020,256.126,0.05
21/04/2020,256.126,0.05
22/04/2020,256.126,0.05
23/04/2020,256.126,0.04
24/04/2020,256.126,0.05
27/04/2020,256.126,0.04
28/04/2020,256.126,0.04
29/04/2020,256.126,0.04
30/04/2020,256.126,0.05
01/05/2020,255.848,0.05
04/05/2020,255.848,0.05
05/05/2020,255.848,0.05
06/05/2020,255.848,0.05
07/05/2020,255.848,0.05
08/05/2020,255.848,0.05
11/05/2020,255.848,0.05
12/05/2020,255.848,0.05
13/05/2020,255.848,0.05
14/05/2020,255.848,0.05
15/05/2020,255.848,0.05
18/05/2020,255.848,0.05
19/05/2020,255.848,0.05
20/05/2020,255.848,0.05
21/05/2020,255.848,0.05
22/05/2020,255.848,0.05
26/05/2020,255.848,0.05
27/05/2020,255.848,0.05
28/05/2020,255.848,0.05
29/05/2020,255.848,0.05
01/06/2020,257.004,0.05
02/06/2020,257.004,0.06
03/06/2020,257.004,0.06
04/06/2020,257.004,0.06
05/06/2020,257.004,0.07
08/06/2020,257.004,0.07
09/06/2020,257.004,0.07
10/06/2020,257.004,0.08
11/06/2020,257.004,0.08
12/06/2020,257.004,0.08
15/06/2020,257.004,0.09
16/06/2020,257.004,0.09
17/06/2020,257.004,0.09
18/06/2020,257.004,0.09
19/06/2020,257.004,0.09
22/06/2020,257.004,0.08
23/06/2020,257.004,0.08
24/06/2020,257.004,0.08
25/06/2020,257.004,0.08
26/06/2020,257.004,0.08
29/06/2020,257.004,0.08
30/06/2020,257.004,0.08
01/07/2020,258.408,0.08
02/07/2020,258.408,0.09
03/07/2020,258.408,0.09
06/07/2020,258.408,0.09
07/07/2020,258.408,0.09
08/07/2020,258.408,0.09
09/07/2020,258.408,0.09
10/07/2020,258.408,0.09
13/07/2020,258.408,0.09
14/07/2020,258.408,0.09
15/07/2020,258.408,0.1
16/07/2020,258.408,0.1
17/07/2020,258.408,0.09
20/07/2020,258.408,0.1
21/07/2020,258.408,0.1
22/07/2020,258.408,0.09
23/07/2020,258.408,0.09
24/07/2020,258.408,0.09
27/07/2020,258.408,0.1
28/07/2020,258.408,0.1
29/07/2020,258.408,0.1
30/07/2020,258.408,0.1
31/07/2020,258.408,0.1
03/08/2020,259.366,0.1
04/08/2020,259.366,0.1
05/08/2020,259.366,0.1
06/08/2020,259.366,0.1
07/08/2020,259.366,0.1
10/08/2020,259.366,0.1
11/08/2020,259.366,0.1
12/08/2020,259.366,0.1
13/08/2020,259.366,0.1
14/08/2020,259.366,0.1
17/08/2020,259.366,0.1
18/08/2020,259.366,0.09
19/08/2020,259.366,0.09
20/08/2020,259.366,0.09
21/08/2020,259.366,0.09
24/08/2020,259.366,0.09
25/08/2020,259.366,0.09
26/08/2020,259.366,0.09
27/08/2020,259.366,0.08
28/08/2020,259.366,0.09
31/08/2020,259.366,0.09
01/09/2020,259.951,0.09
02/09/2020,259.951,0.09
03/09/2020,259.951,0.09
04/09/2020,259.951,0.09
08/09/2020,259.951,0.09
09/09/2020,259.951,0.09
10/09/2020,259.951,0.09
11/09/2020,259.951,0.09
14/09/2020,259.951,0.09
15/09/2020,259.951,0.09
16/09/2020,259.951,0.09
17/09/2020,259.951,0.09
18/09/2020,259.951,0.09
21/09/2020,259.951,0.09
22/09/2020,259.951,0.09
23/09/2020,259.951,0.09
24/09/2020,259.951,0.09
25/09/2020,259.951,0.09
28/09/2020,259.951,0.09
29/09/2020,259.951,0.09
30/09/2020,259.951,0.09
01/10/2020,260.249,0.09
02/10/2020,260.249,0.09
05/10/2020,260.249,0.09
06/10/2020,260.249,0.09
07/10/2020,260.249,0.09
08/10/2020,260.249,0.09
09/10/2020,260.249,0.09
13/10/2020,260.249,0.09
14/10/2020,260.249,0.09
15/10/2020,260.249,0.09
16/10/2020,260.249,0.09
19/10/2020,260.249,0.09
20/10/2020,260.249,0.09
21/10/2020,260.249,0.09
22/10/2020,260.249,0.09
23/10/2020,260.249,0.09
26/10/2020,260.249,0.09
27/10/2020,260.249,0.09
28/10/2020,260.249,0.09
29/10/2020,260.249,0.09
30/10/2020,260.249,0.09
02/11/2020,260.895,0.09
03/11/2020,260.895,0.09
04/11/2020,260.895,0.09
05/11/2020,260.895,0.09
06/11/2020,260.895,0.09
09/11/2020,260.895,0.09
10/11/2020,260.895,0.09
12/11/2020,260.895,0.09
13/11/2020,260.895,0.09
16/11/2020,260.895,0.09
17/11/2020,260.895,0.09
18/11/2020,260.895,0.09
19/11/2020,260.895,0.08
20/11/2020,260.895,0.08
23/11/2020,260.895,0.08
24/11/2020,260.895,0.08
25/11/2020,260.895,0.08
27/11/2020,260.895,0.08
30/11/2020,260.895,0.09
01/12/2020,262.005,0.09
02/12/2020,262.005,0.09
03/12/2020,262.005,0.09
04/12/2020,262.005,0.09
07/12/2020,262.005,0.09
08/12/2020,262.005,0.09
09/12/2020,262.005,0.09
10/12/2020,262.005,0.09
11/12/2020,262.005,0.09
14/12/2020,262.005,0.09
15/12/2020,262.005,0.09
16/12/2020,262.005,0.09
17/12/2020,262.005,0.09
18/12/2020,262.005,0.09
21/12/2020,262.005,0.09
22/12/2020,262.005,0.09
23/12/2020,262.005,0.09
24/12/2020,262.005,0.09
28/12/2020,262.005,0.09
29/12/2020,262.005,0.09
30/12/2020,262.005,0.09
31/12/2020,262.005,0.09
04/01/2021,262.518,0.09
05/01/2021,262.518,0.09
06/01/2021,262.518,0.09
07/01/2021,262.518,0.09
08/01/2021,262.518,0.09
11/01/2021,262.518,0.09
12/01/2021,262.518,0.09
13/01/2021,262.518,0.09
14/01/2021,262.518,0.09
15/01/2021,262.518,0.09
19/01/2021,262.518,0.09
20/01/2021,262.518,0.09
21/01/2021,262.518,0.08
22/01/2021,262.518,0.08
25/01/2021,262.518,0.08
26/01/2021,262.518,0.08
27/01/2021,262.518,0.08
28/01/2021,262.518,0.07
29/01/2021,262.518,0.07
01/02/2021,263.583,0.08
02/02/2021,263.583,0.08
03/02/2021,263.583,0.08
04/02/2021,263.583,0.08
05/02/2021,263.583,0.08
08/02/2021,263.583,0.07
09/02/2021,263.583,0.08
10/02/2021,263.583,0.08
11/02/2021,263.583,0.08
12/02/2021,263.583,0.08
16/02/2021,263.583,0.08
17/02/2021,263.583,0.08
18/02/2021,263.583,0.07
19/02/2021,263.583,0.07
22/02/2021,263.583,0.07
23/02/2021,263.583,0.07
24/02/2021,263.583,0.07
25/02/2021,263.583,0.07
26/02/2021,263.583,0.07
01/03/2021,264.91,0.07
02/03/2021,264.91,0.07
03/03/2021,264.91,0.07
04/03/2021,264.91,0.07
05/03/2021,264.91,0.07
08/03/2021,264.91,0.07
09/03/2021,264.91,0.07
10/03/2021,264.91,0.07
11/03/2021,264.91,0.07
12/03/2021,264.91,0.07
15/03/2021,264.91,0.07
16/03/2021,264.91,0.07
17/03/2021,264.91,0.07
18/03/2021,264.91,0.07
19/03/2021,264.91,0.07
22/03/2021,264.91,0.07
23/03/2021,264.91,0.07
24/03/2021,264.91,0.07
25/03/2021,264.91,0.07
26/03/2021,264.91,0.07
29/03/2021,264.91,0.07
30/03/2021,264.91,0.07
31/03/2021,264.91,0.06
01/04/2021,266.752,0.07
02/04/2021,266.752,0.07
05/04/2021,266.752,0.07
06/04/2021,266.752,0.07
07/04/2021,266.752,0.07
08/04/2021,266.752,0.07
09/04/2021,266.752,0.07
12/04/2021,266.752,0.07
13/04/2021,266.752,0.07
14/04/2021,266.752,0.07
